,Investor Type,Years Forecasted,Initial Investment,Final Value
0,aggressive_investor,34,1936748,26725677
1,moderate_investor,41,430753,9098711
2,aggressive_investor,21,1200629,5229695
3,nervous_investor,19,402812,1298687
4,moderate_investor,22,579297,2926496
5,aggressive_investor,23,1903041,10330372
6,conservative_investor,27,176049,907862
7,conservative_investor,18,1941420,5632329
8,moderate_investor,48,46960,1580622
9,moderate_investor,47,691707,22650684
10,moderate_investor,40,1239720,21379135
11,nervous_investor,48,322667,5704709
12,conservative_investor,45,419950,5042147
13,moderate_investor,47,573380,17046191
14,moderate_investor,23,1167309,7003807
15,conservative_investor,37,714369,5698874
16,aggressive_investor,23,1462222,8939122
17,conservative_investor,24,1347023,5507815
18,conservative_investor,37,325609,2873685
19,moderate_investor,38,1188879,19977392
20,moderate_investor,44,752674,19872877
21,conservative_investor,30,967118,5253581
22,moderate_investor,36,1661284,26501084
23,aggressive_investor,45,1672004,56884208
24,aggressive_investor,20,110107,593833
25,moderate_investor,26,602763,4281347
26,nervous_investor,20,1388146,4290893
27,nervous_investor,26,1448010,7856470
28,nervous_investor,10,1123922,2180255
29,conservative_investor,43,1917573,23535048
30,moderate_investor,22,1789875,8518184
31,moderate_investor,48,1133185,39235212
32,moderate_investor,31,1118662,10971458
33,aggressive_investor,49,335635,15545884
34,conservative_investor,29,974197,5225455
35,moderate_investor,39,1271085,21041397
36,moderate_investor,31,1070524,11449235
37,moderate_investor,48,1532748,59254044
38,aggressive_investor,12,718938,1759160
39,moderate_investor,15,976566,2974046
40,conservative_investor,49,929320,16040940
41,aggressive_investor,42,1348745,32347190
42,conservative_investor,27,1482436,7009295
43,conservative_investor,11,576711,1136384
44,nervous_investor,44,1118210,21753243
45,conservative_investor,10,1646198,2847400
46,conservative_investor,40,849746,8272045
47,aggressive_investor,48,564364,20120971
48,conservative_investor,42,41308,448069
49,nervous_investor,39,1136918,14367419
50,nervous_investor,21,1127014,2968988
51,moderate_investor,31,1956491,21292473
52,conservative_investor,34,328647,2274839
53,moderate_investor,22,1299145,7148543
54,conservative_investor,16,67325,165806
55,aggressive_investor,10,527324,1095260
56,conservative_investor,20,545594,1675647
57,nervous_investor,29,81062,498431
58,aggressive_investor,22,1574619,7236964
59,aggressive_investor,29,773053,7479653
60,conservative_investor,36,1079004,8994427
61,aggressive_investor,50,635423,43271173
62,nervous_investor,34,141155,1164591
63,moderate_investor,50,1029463,49461604
64,conservative_investor,28,508594,2724069
65,moderate_investor,23,1436488,7817070
66,aggressive_investor,30,1197234,14177237
67,moderate_investor,34,1800340,24088667
68,moderate_investor,34,1399084,18796391
69,aggressive_investor,50,540454,22827603
70,nervous_investor,37,1567609,14733075
71,moderate_investor,11,1376847,3265344
72,aggressive_investor,45,1758782,64405807
73,aggressive_investor,24,792804,4774965
74,nervous_investor,16,106290,287139
